Scenario - 
Logfile written - 06/22/2013 13:14:11

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
evnka101_1passive	300	Sound	standard	3550902	0	1			0		other	0
evnka101_1passive	301	Sound	standard	3563502	0	1			0		other	0
evnka101_1passive	302	Sound	standard	3574962	0	2			0		other	0
evnka101_1passive	303	Sound	standard	3585792	0	2			0		other	0
evnka101_1passive	304	Sound	standard	3596622	0	2			0		other	0
evnka101_1passive	305	Sound	standard	3607652	0	2			0		other	0
evnka101_1passive	306	Sound	deviant	3618902	0	1			0		other	0
evnka101_1passive	307	Sound	standard	3630572	0	2			0		other	0
evnka101_1passive	308	Sound	standard	3641412	0	1			0		other	0
evnka101_1passive	309	Sound	standard	3652871	0	2			0		other	0
evnka101_1passive	310	Sound	standard	3665161	0	2			0		other	0
evnka101_1passive	311	Sound	standard	3676471	0	2			0		other	0
evnka101_1passive	312	Sound	standard	3688581	0	2			0		other	0
evnka101_1passive	313	Sound	deviant	3701331	0	2			0		other	0
evnka101_1passive	314	Sound	standard	3713181	0	2			0		other	0
evnka101_1passive	315	Sound	standard	3724501	0	2			0		other	0
evnka101_1passive	316	Sound	standard	3735571	0	1			0		other	0
evnka101_1passive	317	Sound	standard	3747270	0	2			0		other	0
evnka101_1passive	318	Sound	deviant	3759140	0	2			0		other	0
evnka101_1passive	319	Sound	standard	3769930	0	2			0		other	0
evnka101_1passive	320	Sound	standard	3782590	0	2			0		other	0
evnka101_1passive	321	Sound	deviant	3795110	0	1			0		other	0
evnka101_1passive	322	Sound	standard	3806029	0	1			0		other	0
evnka101_1passive	323	Sound	standard	3818679	0	2			0		other	0
evnka101_1passive	324	Sound	deviant	3829479	0	2			0		other	0
evnka101_1passive	325	Sound	standard	3840589	0	2			0		other	0
evnka101_1passive	326	Sound	standard	3852809	0	2			0		other	0
evnka101_1passive	327	Sound	deviant	3864969	0	1			0		other	0
evnka101_1passive	328	Sound	standard	3877178	0	2			0		other	0
evnka101_1passive	329	Sound	standard	3888528	0	2			0		other	0
evnka101_1passive	330	Sound	standard	3899628	0	2			0		other	0
evnka101_1passive	331	Sound	standard	3910898	0	1			0		other	0
evnka101_1passive	332	Sound	standard	3923048	0	2			0		other	0
evnka101_1passive	333	Sound	deviant	3934229	0	1			0		other	0
evnka101_1passive	334	Sound	standard	3946768	0	2			0		other	0
evnka101_1passive	335	Sound	standard	3959158	0	2			0		other	0
evnka101_1passive	336	Sound	standard	3971678	0	2			0		other	0
evnka101_1passive	337	Sound	standard	3984258	0	2			0		other	0
evnka101_1passive	338	Sound	standard	3995708	0	1			0		other	0
evnka101_1passive	339	Sound	standard	4007188	0	1			0		other	0
evnka101_1passive	340	Sound	deviant	4018888	0	2			0		other	0
evnka101_1passive	341	Sound	standard	4030578	0	2			0		other	0
evnka101_1passive	342	Sound	standard	4043188	0	2			0		other	0
evnka101_1passive	343	Sound	standard	4055108	0	2			0		other	0
evnka101_1passive	344	Sound	deviant	4066868	0	2			0		other	0
evnka101_1passive	345	Sound	standard	4077618	0	1			0		other	0
evnka101_1passive	346	Sound	standard	4088988	0	2			0		other	0
evnka101_1passive	347	Sound	standard	4099928	0	1			0		other	0
evnka101_1passive	348	Sound	standard	4111188	0	2			0		other	0
evnka101_1passive	349	Sound	standard	4122988	0	2			0		other	0
evnka101_1passive	350	Sound	standard	4135058	0	2			0		other	0
evnka101_1passive	351	Sound	standard	4146848	0	1			0		other	0
evnka101_1passive	352	Sound	standard	4158767	0	1			0		other	0
evnka101_1passive	353	Sound	deviant	4170637	0	2			0		other	0
